record_id,redcap_repeat_instrument,redcap_repeat_instance,mhla_confirm,mhlea_confidence,uuid,startdate,enddate,scheduledate,status,supplementaldata,serializedresult,light_exposure_diary_complete,form_1_complete
8,,,,,,,,,,,,,2
8,light_exposure_diary,1,1,4,4311C9D0-AB74-11EF-B2A6-5B781CDC9E81,"2024-11-25 21:28:50","2024-11-25 21:29:48",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.0.1"",    ""syncdate"": ""2024-11-25 21:29:48"",    ""utcTime"": ""2024-11-25 21:28:50.157167Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.5"",    ""configversion"": ""2"",    ""devicemodel"": ""iPhone11,8"",    ""percentComplete"": ""100""  }",result.zip,0,
8,light_exposure_diary,2,1,5,B37CD660-AC32-11EF-B0F4-F717DE5FD391,"2024-11-26 20:12:03","2024-11-26 20:12:37",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.0.1"",    ""syncdate"": ""2024-11-26 20:12:37"",    ""utcTime"": ""2024-11-26 20:12:03.142199Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.5"",    ""configversion"": ""2"",    ""devicemodel"": ""iPhone11,8"",    ""percentComplete"": ""100""  }",result.zip,0,
8,light_exposure_diary,3,1,4,1042A2B0-AD0C-11EF-9B4B-9D94334EEAAD,"2024-11-27 22:07:59","2024-11-27 22:08:37",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.0.1"",    ""syncdate"": ""2024-11-27 22:08:38"",    ""utcTime"": ""2024-11-27 22:07:59.579570Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.5"",    ""configversion"": ""2"",    ""devicemodel"": ""iPhone11,8"",    ""percentComplete"": ""100""  }",result.zip,0,
8,light_exposure_diary,4,1,4,13443F50-ADCF-11EF-94FA-49D060E5898F,"2024-11-28 21:23:56","2024-11-28 21:24:24",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.0.1"",    ""syncdate"": ""2024-11-28 21:24:24"",    ""utcTime"": ""2024-11-28 21:23:56.485580Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.5"",    ""configversion"": ""2"",    ""devicemodel"": ""iPhone11,8"",    ""percentComplete"": ""100""  }",result.zip,0,
8,light_exposure_diary,5,1,4,1CD527B0-AE9B-11EF-A448-FF0842EB673A,"2024-11-29 21:44:29","2024-11-29 21:44:46",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.0.1"",    ""syncdate"": ""2024-11-29 21:44:47"",    ""utcTime"": ""2024-11-29 21:44:29.867348Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.5"",    ""configversion"": ""2"",    ""devicemodel"": ""iPhone11,8"",    ""percentComplete"": ""100""  }",result.zip,0,
8,light_exposure_diary,6,1,4,D99DD080-AF69-11EF-8379-3DAC079287C1,"2024-11-30 22:24:22","2024-11-30 22:24:36",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.0.1"",    ""syncdate"": ""2024-11-30 22:24:36"",    ""utcTime"": ""2024-11-30 22:24:22.920533Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.5"",    ""configversion"": ""2"",    ""devicemodel"": ""iPhone11,8"",    ""percentComplete"": ""100""  }",result.zip,0,
8,light_exposure_diary,7,1,4,C271F090-B03F-11EF-BA2C-ABC4E16DC24A,"2024-12-01 23:55:36","2024-12-01 23:55:53",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.0.1"",    ""syncdate"": ""2024-12-01 23:55:54"",    ""utcTime"": ""2024-12-01 23:55:36.345226Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.5"",    ""configversion"": ""2"",    ""devicemodel"": ""iPhone11,8"",    ""percentComplete"": ""100""  }",result.zip,0,
