record_id,redcap_repeat_instrument,redcap_repeat_instance,mhla_confirm,mhlea_confidence,uuid,startdate,enddate,scheduledate,status,supplementaldata,serializedresult,light_exposure_diary_complete,form_1_complete
13,,,,,,,,,,,,,2
13,light_exposure_diary,1,1,5,2251C0E0-D204-11EF-809E-952FCEB5903F,"2025-01-13 23:14:26","2025-01-13 23:15:05",,1,"{    ""devicemanufacturer"": ""HUAWEI"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""9"",    ""syncdate"": ""2025-01-13 23:18:27.787282"",    ""utcTime"": ""2025-01-13 23:14:26.925905Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.6"",    ""buildnumber"": ""143"",    ""configversion"": ""2"",    ""devicemodel"": ""ANE-LX1"",    ""percentComplete"": ""100""  }",result.zip,0,
13,light_exposure_diary,2,1,5,E525BA60-D2C5-11EF-8B8B-87395E1AE128,"2025-01-14 22:21:26","2025-01-14 22:22:30",,1,"{    ""devicemanufacturer"": ""HUAWEI"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""9"",    ""syncdate"": ""2025-01-14 22:22:31"",    ""utcTime"": ""2025-01-14 22:21:26.662484Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.6"",    ""buildnumber"": ""143"",    ""configversion"": ""2"",    ""devicemodel"": ""ANE-LX1"",    ""percentComplete"": ""100""  }",result.zip,0,
13,light_exposure_diary,3,1,5,B02550E0-D398-11EF-9F8C-9F96EC8361FB,"2025-01-15 23:30:21","2025-01-15 23:30:42",,1,"{    ""devicemanufacturer"": ""HUAWEI"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""9"",    ""syncdate"": ""2025-01-15 23:30:43"",    ""utcTime"": ""2025-01-15 23:30:21.550197Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.6"",    ""buildnumber"": ""143"",    ""configversion"": ""2"",    ""devicemodel"": ""ANE-LX1"",    ""percentComplete"": ""100""  }",result.zip,0,
13,light_exposure_diary,4,1,5,7F57EE40-D461-11EF-BF86-659A0EC1FF72,"2025-01-16 23:27:48","2025-01-16 23:28:02",,1,"{    ""devicemanufacturer"": ""HUAWEI"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""9"",    ""syncdate"": ""2025-01-16 23:28:02"",    ""utcTime"": ""2025-01-16 23:27:48.516922Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.6"",    ""buildnumber"": ""143"",    ""configversion"": ""2"",    ""devicemodel"": ""ANE-LX1"",    ""percentComplete"": ""100""  }",result.zip,0,
13,light_exposure_diary,5,1,5,5CA1C7E0-D524-11EF-9470-E9EE853B98A5,"2025-01-17 22:42:42","2025-01-17 22:42:52",,1,"{    ""devicemanufacturer"": ""HUAWEI"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""9"",    ""syncdate"": ""2025-01-17 22:42:52"",    ""utcTime"": ""2025-01-17 22:42:42.142921Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.6"",    ""buildnumber"": ""143"",    ""configversion"": ""2"",    ""devicemodel"": ""ANE-LX1"",    ""percentComplete"": ""100""  }",result.zip,0,
13,light_exposure_diary,6,1,5,950F8C70-D5F6-11EF-992F-673585D4396F,"2025-01-18 23:47:31","2025-01-18 23:47:38",,1,"{    ""devicemanufacturer"": ""HUAWEI"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""9"",    ""syncdate"": ""2025-01-18 23:47:39"",    ""utcTime"": ""2025-01-18 23:47:31.127285Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.6"",    ""buildnumber"": ""143"",    ""configversion"": ""2"",    ""devicemodel"": ""ANE-LX1"",    ""percentComplete"": ""100""  }",result.zip,0,
13,light_exposure_diary,7,1,5,921E4AC0-D6B8-11EF-BAA6-89BFFEB8FCB7,"2025-01-19 22:56:08","2025-01-19 22:56:20",,1,"{    ""devicemanufacturer"": ""HUAWEI"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""9"",    ""syncdate"": ""2025-01-19 22:56:20"",    ""utcTime"": ""2025-01-19 22:56:08.555892Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.6"",    ""buildnumber"": ""143"",    ""configversion"": ""2"",    ""devicemodel"": ""ANE-LX1"",    ""percentComplete"": ""100""  }",result.zip,0,
