record_id,redcap_repeat_instrument,redcap_repeat_instance,redcap_survey_identifier,form_1_timestamp,form_1_complete,experience_log_timestamp,exp_time,current,past,type,location,loc_spec,descr,feedback,identity___1,identity___2,identity___3,identity___4,identity___5,identity_spec,social_type___1,social_type___2,social_type___3,social_type___4,removal,future_use,uuid_2,startdate_2,enddate_2,scheduledate_2,status_2,supplementaldata_2,serializedresult_2,experience_log_complete
5,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,experience_log,1,,,,,1,"2024-11-10 09:05",,1,3,,"On my way to church, a friend asked about the glasses I was wearing and was curious to know about it. I felt excited explaining what the glasses, necklace and wrist watch was about",1,1,0,0,0,0,,0,1,0,0,0,"It was a positive feedback so I will continue to use the light glasses",9611AA20-9F43-11EF-B2FA-4548B8A1B61A,"2024-11-10 09:10:10","2024-11-10 09:16:30",,1,"{    ""devicemanufacturer"": ""INFINIX MOBILITY LIMITED"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""11"",    ""syncdate"": ""2024-11-10 09:16:30"",    ""utcTime"": ""2024-11-10 09:10:10.113097Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.4"",    ""configversion"": ""0"",    ""devicemodel"": ""Infinix X665B"",    ""percentComplete"": ""77""  }",result.zip,0
5,experience_log,2,,,,,1,"2024-11-10 09:24",,1,3,,"At church, 2 church members asked about the light glasses and why I was wearing it with the wrist watch and necklace. It was a nice experience telling them about the study I was in",1,0,1,0,0,0,,1,1,0,1,0,"I feel I should wear it more since I am getting positive feedbacks from people",CBC96CF0-9F45-11EF-8021-979F0C2521A0,"2024-11-10 09:25:59","2024-11-10 09:30:03",,1,"{    ""devicemanufacturer"": ""INFINIX MOBILITY LIMITED"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""11"",    ""syncdate"": ""2024-11-10 09:30:03"",    ""utcTime"": ""2024-11-10 09:25:59.230770Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.4"",    ""configversion"": ""0"",    ""devicemodel"": ""Infinix X665B"",    ""percentComplete"": ""77""  }",result.zip,0
