record_id,redcap_repeat_instrument,redcap_repeat_instance,mhla_confirm,mhlea_confidence,uuid,startdate,enddate,scheduledate,status,supplementaldata,serializedresult,light_exposure_diary_complete,form_1_complete
4,,,,,,,,,,,,,2
4,light_exposure_diary,1,1,5,5513D800-9579-11EF-B3EE-3F945A245E89,"2024-10-28 22:09:42","2024-10-28 22:09:54",,1,"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""14"",    ""syncdate"": ""2024-10-28 22:09:55"",    ""utcTime"": ""2024-10-28 22:09:42.272652Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.4"",    ""configversion"": ""2"",    ""devicemodel"": ""SM-A235F"",    ""percentComplete"": ""100""  }",result.zip,0,
4,light_exposure_diary,2,1,5,1C250B60-964E-11EF-93DF-754BFDE71E41,"2024-10-29 23:32:49","2024-10-29 23:33:00",,1,"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""14"",    ""syncdate"": ""2024-10-29 23:33:00"",    ""utcTime"": ""2024-10-29 23:32:49.557929Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.4"",    ""configversion"": ""2"",    ""devicemodel"": ""SM-A235F"",    ""percentComplete"": ""100""  }",result.zip,0,
4,light_exposure_diary,3,1,5,7E4D2C40-971C-11EF-9A9B-1173186E9952,"2024-10-31 00:10:10","2024-10-31 00:10:26",,1,"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""14"",    ""syncdate"": ""2024-10-31 00:10:26"",    ""utcTime"": ""2024-10-31 00:10:10.564700Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.4"",    ""configversion"": ""2"",    ""devicemodel"": ""SM-A235F"",    ""percentComplete"": ""100""  }",result.zip,0,
4,light_exposure_diary,4,1,5,5E1109C0-97E3-11EF-B280-13AB483FE8AB,"2024-10-31 23:53:46","2024-10-31 23:53:55",,1,"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""14"",    ""syncdate"": ""2024-10-31 23:53:55"",    ""utcTime"": ""2024-10-31 23:53:46.332654Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.4"",    ""configversion"": ""2"",    ""devicemodel"": ""SM-A235F"",    ""percentComplete"": ""100""  }",result.zip,0,
4,light_exposure_diary,5,1,5,F18B9DE0-98BB-11EF-A8E7-77B9B2E228CC,"2024-11-02 01:44:05","2024-11-02 01:44:14",,1,"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""14"",    ""syncdate"": ""2024-11-02 01:44:14"",    ""utcTime"": ""2024-11-02 01:44:05.054587Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.4"",    ""configversion"": ""2"",    ""devicemodel"": ""SM-A235F"",    ""percentComplete"": ""100""  }",result.zip,0,
4,light_exposure_diary,6,1,5,60014EA0-9970-11EF-BB48-8142E8976916,"2024-11-02 23:15:39","2024-11-02 23:15:46",,1,"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""14"",    ""syncdate"": ""2024-11-02 23:15:46"",    ""utcTime"": ""2024-11-02 23:15:39.786342Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.4"",    ""configversion"": ""2"",    ""devicemodel"": ""SM-A235F"",    ""percentComplete"": ""100""  }",result.zip,0,
4,light_exposure_diary,7,1,5,B9E79650-9A78-11EF-A4FE-55BB3FE71AC6,"2024-11-04 00:03:05","2024-11-04 00:03:34",,1,"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""14"",    ""syncdate"": ""2024-11-04 06:48:07"",    ""utcTime"": ""2024-11-04 06:47:57.749481Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""GMT"",    ""appversion"": ""2.1.4"",    ""configversion"": ""2"",    ""devicemodel"": ""SM-A235F"",    ""percentComplete"": ""100""  }",result.zip,0,
